,Image Link,Brand Image Link,Model,Price,Description
20,https://www.music3000.fr/805123/martin-lx1re-guitare-acoustique-lx-epicea-sitka--palissandre-hpl.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN LX1RE guitare acoustique lx epicéa sitka / palissandre hpl,"650,00€","MARTIN LX1RE lx epicéa sitka / palissandre hpl Malgré son petit format, la LX1RE offre une projection bluffante qui en fait une très bonne guitare à emmener partout avec soi! Les Little Martin sont déjà bien connues pour leur qualité de fabrication, leur projection et leur polyvalence. Nouvel ajout à la gamme, la LX1RE dispose d'une table en épicéa Sitka qui lui confère un son puissant et chaleureux et d'un corps en palissandre composite du plus bel effet. Sa rosace Herringbone et son pickguard - une première pour une Little Martin - lui confèrent un style original. Livrée en housse et équipée d'un préampli Fishman Sonitone, la LX1RE est autant une guitare de scène que de voyage. CARACTERISTIQUES - Table : épicéa Sitka - Cordes : métal - Touche : FSC Certified Richlite - Barrage : X - Sill"
21,https://www.music3000.fr/805106/martin-00010e-guitare-acoustique-000-sapelesapele.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN 000-10E guitare acoustique 000 sapele/sapele,"1199,00€",MARTIN 000-10E 000 sapele/sapele CARACTERISTIQUES - Table : Sapelli - Cordes : métal - Touche : Richlite - Format : 000 - Housse/étui : Housse - Catégorie : Folk - Manche : Bois sélectionné - Fond / éclisses : Sapelli - Cordes d'origine : Authentic Acoustic Lifespan 2.0 Light - 92/8
22,https://www.music3000.fr/806804/taylor-builders-edition-324ce-urban-ash--mahogany-top.jpg,https://www.music3000.fr/img/m/17-small_default.jpg,TAYLOR Builder's Edition 324ce Urban Ash / Mahogany top,"3199,00€",TAYLOR Builder's Edition 324ce Urban Ash / Mahogany top
23,https://www.music3000.fr/803038/lag-t118asceblk-auditorium-slim-cutaway-electro-black.jpg,https://www.music3000.fr/img/m/256-small_default.jpg,LAG T118ASCE-BLK auditorium slim cutaway electro black,"578,00€","LAG T118ASCE-BLK auditorium slim cutaway electro black CARACTERISTIQUES - Table : Cèdre massif - Cordes : métal - Touche : Brownwood - Sillets : Compensé graphite noir / 72 mm / 43 mm - Chevalet : Brownwood - Finition : Brillante - Format : Auditorium - Mécaniques à‚ bain d'huile, rapport 1:18 - Catégorie"
24,https://www.music3000.fr/785195/yamaha-fx310aii-guitare-folk-electro-syst-68f-art-natural.jpg,https://www.music3000.fr/img/m/117-small_default.jpg,YAMAHA FX310AII guitare folk electro syst 68f art natural,"259,00€",La FX310AII est la guitare éléctro-acoustique la plus accessible de sa catégorie ! Ce modèle combine le savoir-faire unique qui a fait le succès de nos modèles Folk avec un système de préamplification intuitif.
25,https://www.music3000.fr/804398/martin-d10esapele-guitare-acoustique-dreadnought-sapelesapele.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN D-10E-SAPELE guitare acoustique dreadnought sapele/sapele,"1199,00€",MARTIN D-10E-SAPELE dreadnought sapele/sapele CARACTERISTIQUES - Table : Sapelli - Cordes : métal - Touche : Richlite - Format : Dreadnought - Catégorie : Folk - Manche : Bois sélectionné - Fond / éclisses : Sapelli - Gaucher : Non - Pan coupé : Non - Nbre de cordes : 6
26,https://www.music3000.fr/803040/lag-t118asceivo-auditorium-slim-cutaway-electro-ivory.jpg,https://www.music3000.fr/img/m/256-small_default.jpg,LAG T118ASCE-IVO auditorium slim cutaway electro ivory,"578,00€","LAG T118ASCE-IVO auditorium slim cutaway electro ivory CARACTERISTIQUES - Table : Cèdre massif - Cordes : métal - Touche : Brownwood - Sillets : Compensé graphite noir / 72 mm / 43 mm - Chevalet : Brownwood - Finition : Brillante - Format : Auditorium - Mécaniques à‚ bain d'huile, rapport 1:18 - Catégorie"
27,https://www.music3000.fr/803707/martin-gpc11e-guitare-acoustique-gpc11e.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN GPC-11E guitare acoustique gpc-11e,"1438,00€",MARTIN GPC-11E gpc-11e CARACTERISTIQUES - Table : épicéa Sitka - Cordes : métal - Touche : Richlite - Format : Grand Performance - Catégorie : Folk électroacoustique - Manche : Bois sélectionné - Fond / éclisses : Sapelli - Gaucher : Non - Pan coupé : Oui - Nbre de c
28,https://www.music3000.fr/803698/martin-d10e-guitare-acoustique-d10e.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN D-10E guitare acoustique d-10e,"1248,00€",MARTIN D-10E d-10e CARACTERISTIQUES - Table : épicéa Sitka - Cordes : métal - Touche : Richlite - Finition : Naturelle - Format : Dreadnought - Housse/étui : Housse - Catégorie : Folk - Manche : Bois sélectionné - Fond / éclisses : Sapelli - électronique : Fishm
29,https://www.music3000.fr/803695/martin-00013e-00013e.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN 000-13E 000-13e,"1558,00€",MARTIN 000-13E 000-13e CARACTERISTIQUES - Table : épicéa Sitka - Cordes : métal - Touche : Richlite - Format : 000 - Catégorie : Folk électroacoustique - Manche : Bois sélectionné - Fond / éclisses : Siris - Gaucher : Non - Pan coupé : Non - Nbre de cordes : 6
